,Rank,Year,Country,In-Game Name,Player Name,Total (Year),Total (Overall),Game,# of Tournaments
47,48.,2013,China,Uzi,"Jian, Zihao","$61,803.18","$545,447.56","Jian ""Uzi"" Zihao - League of Legends Player",41
48,49.,2013,China,GodLike,"Xiao, Wang","$61,803.18","$82,589.17","Xiao ""GodLike"" Wang - League of Legends Player",20
49,50.,2013,China,Banana,"Jiao, Wang","$61,615.86","$1,283,122.84","Jiao ""Banana"" Wang - Dota 2 Player",46
50,51.,2013,China,Lucky,"Liu, Junjie","$61,471.45","$71,719.24","Liu ""Lucky"" Junjie - League of Legends Player",15
51,52.,2013,China,Mu,"Zhang, Pan","$61,054.15","$1,390,711.71","Zhang ""Mu"" Pan - Dota 2 Player",48
52,53.,2013,China,SanSheng,"Wang, Zhaohui","$61,054.15","$1,211,061.38","Wang ""SanSheng"" Zhaohui - Dota 2 Player",48
53,54.,2013,China,Gogoing,"Gao, Di Ping","$60,264.04","$113,570.08","Gao ""Gogoing"" Di Ping - League of Legends Player",23
54,55.,2013,China,Cool,"Yu, Jia Jun","$60,264.04","$111,855.08","Yu ""Cool"" Jia Jun - League of Legends Player",21
55,56.,2013,China,LoveLing,"Yin, Le","$60,264.04","$110,071.90","Yin ""LoveLing"" Le - League of Legends Player",21
56,57.,2013,"Korea, Republic of",PartinG,"Won, Lee Sak","$60,144.94","$467,139.54","Won ""PartinG"" Lee Sak - StarCraft II Player",217
57,58.,2013,Hong Kong,Wh1t3zZ,"Lo, Pun Wai","$59,831.19","$64,336.76","Lo ""Wh1t3zZ"" Pun Wai - League of Legends Player",16
58,59.,2013,United States,C6,Ian Porter,"$59,492.50","$1,333,092.80","Ian ""C6"" Porter - Call of Duty Player",165
59,60.,2013,United States,TeePee,Tyler Polchow,"$59,492.50","$344,453.71","Tyler ""TeePee"" Polchow - Call of Duty Player",106
60,61.,2013,United States,Aches,Patrick Price,"$59,312.50","$482,231.76","Patrick ""Aches"" Price - Call of Duty Player",89
61,62.,2013,"Korea, Republic of",HyuN,"Ko, Seok Hyun","$58,550.58","$236,632.41","Ko ""HyuN"" Seok Hyun - StarCraft: Brood War Player",203
62,63.,2013,China,KingJ,"Zhou, Yang","$58,399.12","$84,210.61","Zhou ""KingJ"" Yang - Dota 2 Player",19
63,64.,2013,"Korea, Republic of",Mvp,"Jung, Jong Hyun","$57,495.28","$409,621.15","Jung ""Mvp"" Jong Hyun - StarCraft II Player",69
64,65.,2013,United States,StaiNViLLe,Tosh Mcgruder,"$57,387.98","$74,820.48","Tosh ""StaiNViLLe"" Mcgruder - Call of Duty Player",17
65,66.,2013,Hong Kong,Tabe,"Wong, Pak Kan","$57,273.55","$63,357.14","Wong ""Tabe"" Pak Kan - League of Legends Player",15
66,67.,2013,China,san,"Guo, Jun Liang","$56,264.04","$108,594.22","Guo ""san"" Jun Liang - League of Legends Player",19
67,68.,2013,Canada,Rambo,Raymond Lussier,"$55,449.42","$134,108.73","Raymond ""Rambo"" Lussier - Call of Duty Player",32
68,69.,2013,"Korea, Republic of",HerO,"Song, Hyeon Deok","$55,157.12","$261,892.87","Song ""HerO"" Hyeon Deok - StarCraft II Player",91
69,70.,2013,United States,Proofy,Jordan Cannon,"$55,079.23","$105,070.37","Jordan ""Proofy"" Cannon - Call of Duty Player",52
70,71.,2013,United States,JKap,Jordan Kaplan,"$54,184.23","$714,188.81","Jordan ""JKap"" Kaplan - Call of Duty Player",97
71,72.,2013,France,sOAZ,Paul Boyer,"$53,540.00","$422,314.88","Paul ""sOAZ"" Boyer - League of Legends Player",77
72,73.,2013,France,YellOwStaR,Bora Kim,"$53,540.00","$187,861.20","Bora ""YellOwStaR"" Kim - League of Legends Player",57
73,74.,2013,Spain,xPeke,Enrique Cedeño Martinez,"$53,540.00","$166,127.40","Enrique ""xPeke"" Cedeño Martinez - League of Legends Player",54
74,75.,2013,Finland,Cyanide,Lauri Happonen,"$53,540.00","$115,902.10","Lauri ""Cyanide"" Happonen - League of Legends Player",42
75,76.,2013,"Korea, Republic of",watch,"Cho, Jae Geol","$51,869.92","$111,458.70","Cho ""watch"" Jae Geol - League of Legends Player",23
76,77.,2013,"Korea, Republic of",Cain,"Jang, Nu Ri","$51,869.92","$78,010.14","Jang ""Cain"" Nu Ri - League of Legends Player",21
77,78.,2013,"Korea, Republic of",PraY,"Kim, Jong In","$50,043.44","$374,778.08","Kim ""PraY"" Jong In - League of Legends Player",37
78,79.,2013,United States,Zachary Thornton,Zachary Thornton,"$50,000.00","$50,000.00",Zachary Thornton - Turbo Racing League Player,3
79,80.,2013,"Korea, Republic of",Rain,"Jung, Yoon Jong","$49,626.92","$323,560.63","Jung ""Rain"" Yoon Jong - StarCraft: Brood War Player",64
80,81.,2013,Sweden,f0rest,Patrik Lindberg,"$48,371.69","$749,991.80","Patrik ""f0rest"" Lindberg - CS:GO Player",262
81,82.,2013,Sweden,GeT_RiGhT,Christopher Alesund,"$48,371.69","$622,386.05","Christopher ""GeT_RiGhT"" Alesund - CS:GO Player",230
82,83.,2013,Sweden,Xizt,Richard Landström,"$48,371.69","$549,513.99","Richard ""Xizt"" Landström - CS:GO Player",177
83,84.,2013,Sweden,friberg,Adam Friberg,"$48,371.69","$419,435.26","Adam ""friberg"" Friberg - CS:GO Player",154
84,85.,2013,Sweden,Fifflaren,Robin Johansson,"$48,371.69","$124,472.55","Robin ""Fifflaren"" Johansson - CS:GO Player",74
85,86.,2013,China,bigpomelo,"Ouyang, Wei Qi","$48,049.85","$56,682.07","Ouyang ""bigpomelo"" Wei Qi - League of Legends Player",8
86,87.,2013,"Korea, Republic of",YoDa,"Choi, Byung Hyun","$46,695.99","$84,119.07","Choi ""YoDa"" Byung Hyun - StarCraft II Player",52
87,88.,2013,"Korea, Republic of",duckdeok,"Kim, Kyung Deok","$43,673.20","$122,994.68","Kim ""duckdeok"" Kyung Deok - Heroes of the Storm Player",38
88,89.,2013,"Korea, Republic of",First,"Kang, Hyun Woo","$42,921.81","$89,725.40","Kang ""First"" Hyun Woo - StarCraft II Player",64
89,90.,2013,Norway,Snute,Jens Aasgaard,"$42,854.64","$372,788.71","Jens ""Snute"" Aasgaard - StarCraft II Player",310
90,91.,2013,Canada,Scarlett,Sasha Hostyn,"$42,425.90","$419,941.19","Sasha ""Scarlett"" Hostyn - Female StarCraft II Player",234
91,92.,2013,"Korea, Republic of",Symbol,"Kang, Dong Hyun","$42,316.54","$94,856.43","Kang ""Symbol"" Dong Hyun - StarCraft II Player",68
92,93.,2013,"Korea, Republic of",dade,"Bae, Eo Jin","$41,587.49","$118,986.53","Bae ""dade"" Eo Jin - League of Legends Player",17
93,94.,2013,Spain,Ralfitita,Rafael Riobó,"$41,000.00","$47,583.00","Rafael ""Ralfitita"" Riobó - FIFA Player",5
94,95.,2013,China,MMY!,"Lei, Zengrong","$40,770.84","$1,112,600.81","Lei ""MMY!"" Zengrong - Dota 2 Player",68
95,96.,2013,China,BurNIng,"Xu, Zhilei","$40,770.84","$896,625.35","Xu ""BurNIng"" Zhilei - Dota 2 Player",78
96,97.,2013,Estonia,puszu,Johannes Uibos,"$40,000.00","$40,254.31","Johannes ""puszu"" Uibos - League of Legends Player",7
97,98.,2013,United States,charley25k,- -,"$40,000.00","$40,000.00","- ""charley25k"" - - Sports Video Game Player",1
98,99.,2013,United States,Chris Tomkinson,Chris Tomkinson,"$40,000.00","$40,000.00",Chris Tomkinson - Turbo Racing League Player,2
99,100.,2013,"Korea, Republic of",Expession,"Gu, Bon Taek","$36,323.00","$46,568.90","Gu ""Expession"" Bon Taek - League of Legends Player",25
0,1.,2014,China,Hao,"Chen, Zhihao","$1,112,281.00","$1,761,646.83","Chen ""Hao"" Zhihao - Dota 2 Player",59
